countryiso3code,country,date,gini,subsequent_growth
MLT,Malta,2015,29.4,1.8883094269195884
MLT,Malta,2014,29.0,4.4075647427860885
MLT,Malta,2013,28.8,5.5128201083069985
MLT,Malta,2012,29.4,5.83828149244961
MLT,Malta,2011,29.1,4.4874886092748065
MLT,Malta,2010,29.0,4.255964718301021
MRT,Mauritania,2014,32.6,1.102051088759134
MUS,Mauritius,2017,36.8,0.934557060132342
MUS,Mauritius,2012,38.5,3.6145852585529616
MEX,Mexico,2018,46.0,0.009727973579596228
MEX,Mexico,2016,46.9,-0.6319269848388556
MEX,Mexico,2014,48.9,0.6001670284375111
MEX,Mexico,2012,49.6,0.8294388296617935
MEX,Mexico,2010,47.7,1.3160790302351084
FSM,"Micronesia, Fed. Sts.",2013,40.1,0.7812599773215133
MDA,Moldova,2018,25.7,3.1211245852226277
MDA,Moldova,2017,25.9,3.484035759273952
MDA,Moldova,2016,26.3,5.10522337484652
MDA,Moldova,2015,27.0,3.148099005264492
MDA,Moldova,2014,26.8,4.686584736403725
MDA,Moldova,2013,28.5,4.654755928565449
MDA,Moldova,2012,29.2,5.285297607504106
MDA,Moldova,2011,30.6,3.971875034183107
MDA,Moldova,2010,32.1,3.973716906002771
MNG,Mongolia,2018,32.7,1.3631280294016288
MNG,Mongolia,2016,32.3,1.3458632643898365
MNG,Mongolia,2014,32.0,2.546525802804161
MNG,Mongolia,2012,33.8,3.6429323798262994
MNG,Mongolia,2011,33.9,4.960160195105639
MNG,Mongolia,2010,33.1,8.126183186224761
MNE,Montenegro,2018,36.8,3.435254976699722
MNE,Montenegro,2017,36.9,3.068801575732344
MNE,Montenegro,2016,38.5,2.09296758388282
MNE,Montenegro,2015,39.0,0.09275711224107805
MNE,Montenegro,2014,38.8,3.561697867986866
MNE,Montenegro,2013,39.0,3.1294920923023524
MNE,Montenegro,2012,41.2,2.8365559330687042
MNE,Montenegro,2011,30.8,1.6828210722064683
MNE,Montenegro,2010,28.9,1.6695687914709538
MAR,Morocco,2013,39.5,1.9098148533793107
MOZ,Mozambique,2014,54.0,1.0822374556607448
MMR,Myanmar,2017,30.7,-1.5326479454821484
MMR,Myanmar,2015,38.1,2.397585417948574
NAM,Namibia,2015,59.1,-4.468655598244724
NRU,Naoero,2012,32.4,2.198915973698108
NPL,Nepal,2010,32.8,3.9575987084392543
NLD,Netherlands,2018,28.1,1.077428054734172
NLD,Netherlands,2017,28.5,1.7255823019394938
NLD,Netherlands,2016,28.2,1.3585172019228338
NLD,Netherlands,2015,28.2,0.5902587276079099
NLD,Netherlands,2014,28.6,1.8041770042505738
NLD,Netherlands,2013,28.1,1.72725156091782
NLD,Netherlands,2012,27.6,1.3296740983978563
NLD,Netherlands,2011,27.8,0.6258263423028321
NLD,Netherlands,2010,27.8,0.509638438166734
NIC,Nicaragua,2014,46.2,0.20291629885158197
NER,Niger,2018,37.3,1.8897324292566076
NER,Niger,2014,34.3,1.7600981173404455
NER,Niger,2011,31.5,2.3577981809919857
NGA,Nigeria,2018,35.1,-1.2023438521884693
NGA,Nigeria,2015,35.9,-2.8788091609161133
NGA,Nigeria,2012,35.5,0.3598527240968294
NGA,Nigeria,2010,35.7,2.241922843595323
MKD,North Macedonia,2018,33.0,2.478390894114148
MKD,North Macedonia,2017,34.2,2.604429369509706
MKD,North Macedonia,2016,34.5,2.2899156299047596
MKD,North Macedonia,2015,35.6,1.807134763457292
MKD,North Macedonia,2014,35.2,3.3648665121681396
MKD,North Macedonia,2013,36.2,3.2227130214541604
MKD,North Macedonia,2012,38.1,3.2030815399757864
MKD,North Macedonia,2011,39.4,2.8921386558646334
MKD,North Macedonia,2010,40.1,2.818496309191583
NOR,Norway,2018,27.6,0.9603034185155765
NOR,Norway,2017,27.0,1.2059678901214541
NOR,Norway,2016,28.5,0.9448113378626182
NOR,Norway,2015,27.5,0.3079020291461205
NOR,Norway,2014,26.8,0.9026009713645365
NOR,Norway,2013,26.4,0.9352579124766336
NOR,Norway,2012,25.7,0.8573726462633331
